post_type,caption,like_count,comment_count,date,time,engagement_rate
Carousel,guna erat sinergi antara kampus dengan alumni serta tutup dies natalis ke pens ikat alumni pens ikapens gelar kongres dan reuni akbar pada sabtu gelar ini undang wakil alumni dari angkat dengan ambil lokasi di mini theater dan auditorium lt gedung pascasarjana pens lalu sidang pleno pilih ketua serta jajar senat ikapens periode kemudian ada pula panel diskusi sama diet k s radityo elektronika direktur sdm umum airnav indonesia sekaligus ketua ikapens pilih serta galang romadhon elektronika entrepreneur bidang ekspor berita lengkap dapat baca di politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusberdampak kampusinovasi banggapens ikapens kongresikapens reuniakbarikapens,517,0,2025-08-25,08:57:36,1.651335122013543
Carousel,dalam rangka semarak puncak raya dies natalis ke bagai agenda tarik gelar pada sabtu di lapang merah pens rangkai giat liput jalan sehat bazar senam zumba sama live music hingga talkshow karier inspiratif giat sebut ikut dengan penuh antusias oleh mahasiswa dosen karyawan dan tenaga didik bagai bentuk sama sekaligus upaya erat tali silaturahmi antar warga kampus suasana makin riah saat bagi doorprize dengan bagai hadiah istimewa yang sambut soraksorai para serta berita lengkap dapat baca di politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusinovasi banggapens diesnatalispens festivaldiesnatalis pens,917,4,2025-08-24,17:59:13,2.9417401303181294
Image,direktur dan civitas akademika politeknik elektronika negeri ucap selamat dan sukses kepada prof dr ir mohammad nuh dea direktur pens periode bagai anggota dewan arah dewan didik tinggi menteri didik tinggi sains dan teknologi republik indonesia periode moga dapat jalan amanah dengan baik untuk didik tinggi di indonesia politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusberdampak kampusinovasi kemdiktisaintek dewanpendidikantinggi,809,0,2025-08-22,10:29:00,2.5840040884119073
Image,festival dies natalis ke pens satu hari ribu ceria hai civitas akademika mahasiswa pens dalam rangka riah dies natalis ke yuk kita ramai festival dies natalis yang penuh seru dan hadiah spektakuler haritanggal sabtu agustus waktu wib tempat kampus pens jl raya its sukolilo rangkai acara spesial jalan sehat doorprize puluh juta rupiah bazar senam sehat live music talkshow karier inspiratif hadiah utama nanti motor listrik sepeda gadget dan puluh hadiah tarik lain siap bawa pulang hanya untuk civitas pens keluarga catat jangan sampai tinggal bawa semangat ajak teman keluarga dan mari kita raya sama pens festivaldiesnatalis kampusinovasi,355,6,2025-08-21,19:11:56,1.1530599207870191
Image,direktur dan civitas akademika politeknik elektronika negeri ucap selamat dan sukses kepada dr zainal arief st mt zainaruarifu direktur pens periode bagai anggota dewan didik tinggi menteri didik tinggi sains dan teknologi republik indonesia periode moga dapat jalan amanah dengan baik untuk didik tinggi di indonesia politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusberdampak kampusinovasi kemdiktisaintek dewanpendidikantinggi,1286,39,2025-08-21,16:24:05,4.232145138622716
Carousel,usai kenal hidup kampus bagi mahasiswa baru pkkmb lama tiga hari pens juga hadir technogear dan minat bakat expo mbex sejak kamis hingga sabtu bagai agenda utama dalam sambut mahasiswa baru dua giat ini jadi wadah bentuk karakter kuat identitas organisasi mahasiswa sekaligus teguh citra pens bagai institusi vokasi unggul banyak mahasiswa baru dari jenjang studi diploma tiga dan sarjana terap dari kampus utama turut partisipasi cara penuh guna tunjang peran bagai keluarga mahasiswa pens berita lengkap dapat baca di politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusberdampak kampusinovasi banggapens pkkmbxtechnogear,1718,2,2025-08-19,10:44:22,5.493803500702696
Video,halo sobatpens dalam rangka ingat hut ke republik indonesia pens gelar upacara bendera pada minggu selain upacara juga bagai momentum beri harga satya lancana karya satya kepada dosen dan tendik yuk simak video dalam reels ikut politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusberdampak kampusinovasi hutri,717,2,2025-08-17,18:33:53,2.296537626165836
Carousel,dalam momentum hari ulang tahun ke merdeka republik indonesia pens gelar upacara bendera tepat pada minggu upacara sebut hadir oleh sivitas akademika liput wakil dosen dan tenaga didik dari tiap jurus serta ambil lokasi di lapang basket gedung sarjana terap pens dengan tema satu daulat rakyat sejahtera indonesia maju dalam ingat tahun ini turut laksana beri harga satyalancana karya satya potong tumpeng dan bagai lomba tarik berita lengkap dapat baca di politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusberdampak kampusinovasi banggapens hutri,608,0,2025-08-17,14:43:01,1.9419956560623484
Image,dirgahayu republik indonesia merdeka bukan hanya makna bebas tetapi juga tanggung jawab untuk terus ajar inovasi dan karya demi bangsa tiap generasi milik peran penting dalam jaga semangat juang agar manfaat dapat rasa sama dengan semangat merdeka mari kita bangun indonesia yang lebih maju daya saing dan martabat politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusinovasi banggapens kampusberdampak hutri,398,3,2025-08-17,11:23:53,1.2808227928963845
Video,halo sobatpens ada yang baru nih di technogear bagai wujud sambut hangat bagi mahasiswa baru gelar parade yang riah oleh himpun mahasiswa hima pada jumat agam kreativitas khas masingmasing hima tampil dengan tak hanya sasar sivitas akademika tetapi juga masyarakat umum di panjang jalan raya its sekitar kampus pens penasaran dengan seru yuk simak reels ikut politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusinovasi kampustradisijuara banggapens technogear parade,2900,35,2025-08-16,17:51:23,9.374600741024658
