post_type,caption,like_count,comment_count,date,time,engagement_rate
Carousel,"['erat', 'sinergi', 'kampus', 'alumni', 'tutup', 'dies', 'natalis', 'pens', 'ikat', 'alumni', 'pens', 'ikapens', 'gelar', 'kongres', 'reuni', 'akbar', 'sabtu', 'gelar', 'undang', 'wakil', 'alumni', 'angkat', 'ambil', 'lokasi', 'mini', 'theater', 'auditorium', 'lt', 'gedung', 'pascasarjana', 'pens', 'sidang', 'pleno', 'pilih', 'ketua', 'jajar', 'senat', 'ikapens', 'periode', 'panel', 'diskusi', 'diet', 'k', 's', 'radityo', 'elektronika', 'direktur', 'sdm', 'airnav', 'indonesia', 'ketua', 'ikapens', 'pilih', 'galang', 'romadhon', 'elektronika', 'entrepreneur', 'bidang', 'ekspor', 'berita', 'lengkap', 'baca', 'politeknik', 'politeknikjoss', 'pens', 'pensjoss', 'diktisaintekberdampak', 'kampusberdampak', 'kampusinovasi', 'banggapens', 'ikapens', 'kongresikapens', 'reuniakbarikapens']",517,0,2025-08-25,08:57:36,1.651335122013543
Carousel,"['rangka', 'semarak', 'puncak', 'raya', 'dies', 'natalis', 'agenda', 'tarik', 'gelar', 'sabtu', 'lapang', 'merah', 'pens', 'rangkai', 'giat', 'liput', 'jalan', 'sehat', 'bazar', 'senam', 'zumba', 'live', 'music', 'talkshow', 'karier', 'inspiratif', 'giat', 'penuh', 'antusias', 'mahasiswa', 'dosen', 'karyawan', 'tenaga', 'didik', 'bentuk', 'upaya', 'erat', 'tali', 'silaturahmi', 'warga', 'kampus', 'suasana', 'riah', 'doorprize', 'hadiah', 'istimewa', 'sambut', 'soraksorai', 'berita', 'lengkap', 'baca', 'politeknik', 'politeknikjoss', 'pens', 'pensjoss', 'diktisaintekberdampak', 'kampusinovasi', 'banggapens', 'diesnatalispens', 'festivaldiesnatalis', 'pens']",917,4,2025-08-24,17:59:13,2.9417401303181294
Image,"['direktur', 'civitas', 'akademika', 'politeknik', 'elektronika', 'negeri', 'selamat', 'sukses', 'prof', 'dr', 'ir', 'mohammad', 'nuh', 'dea', 'direktur', 'pens', 'periode', 'anggota', 'dewan', 'arah', 'dewan', 'didik', 'menteri', 'didik', 'sains', 'teknologi', 'republik', 'indonesia', 'periode', 'moga', 'jalan', 'amanah', 'didik', 'indonesia', 'politeknik', 'politeknikjoss', 'pens', 'pensjoss', 'diktisaintekberdampak', 'kampusberdampak', 'kampusinovasi', 'kemdiktisaintek', 'dewanpendidikantinggi']",809,0,2025-08-22,10:29:00,2.5840040884119078
Image,"['festival', 'dies', 'natalis', 'pens', 'ribu', 'ceria', 'hai', 'civitas', 'akademika', 'mahasiswa', 'pens', 'rangka', 'riah', 'dies', 'natalis', 'yuk', 'ramai', 'festival', 'dies', 'natalis', 'penuh', 'seru', 'hadiah', 'spektakuler', 'haritanggal', 'sabtu', 'agustus', 'wib', 'kampus', 'pens', 'jl', 'raya', 'its', 'sukolilo', 'rangkai', 'acara', 'spesial', 'jalan', 'sehat', 'doorprize', 'puluh', 'juta', 'rupiah', 'bazar', 'senam', 'sehat', 'live', 'music', 'talkshow', 'karier', 'inspiratif', 'hadiah', 'utama', 'motor', 'listrik', 'sepeda', 'gadget', 'puluh', 'hadiah', 'tarik', 'bawa', 'pulang', 'civitas', 'pens', 'keluarga', 'catat', 'tinggal', 'bawa', 'semangat', 'ajak', 'teman', 'keluarga', 'mari', 'raya', 'pens', 'festivaldiesnatalis', 'kampusinovasi']",355,6,2025-08-21,19:11:56,1.1530599207870191
Image,"['direktur', 'civitas', 'akademika', 'politeknik', 'elektronika', 'negeri', 'selamat', 'sukses', 'dr', 'zainal', 'arief', 'st', 'mt', 'zainaruarifu', 'direktur', 'pens', 'periode', 'anggota', 'dewan', 'didik', 'menteri', 'didik', 'sains', 'teknologi', 'republik', 'indonesia', 'periode', 'moga', 'jalan', 'amanah', 'didik', 'indonesia', 'politeknik', 'politeknikjoss', 'pens', 'pensjoss', 'diktisaintekberdampak', 'kampusberdampak', 'kampusinovasi', 'kemdiktisaintek', 'dewanpendidikantinggi']",1286,39,2025-08-21,16:24:05,4.232145138622716
Carousel,"['kenal', 'hidup', 'kampus', 'mahasiswa', 'pkkmb', 'pens', 'hadir', 'technogear', 'minat', 'bakat', 'expo', 'mbex', 'kamis', 'sabtu', 'agenda', 'utama', 'sambut', 'mahasiswa', 'giat', 'wadah', 'bentuk', 'karakter', 'kuat', 'identitas', 'organisasi', 'mahasiswa', 'teguh', 'citra', 'pens', 'institusi', 'vokasi', 'unggul', 'mahasiswa', 'jenjang', 'studi', 'diploma', 'sarjana', 'terap', 'kampus', 'utama', 'partisipasi', 'penuh', 'tunjang', 'peran', 'keluarga', 'mahasiswa', 'pens', 'berita', 'lengkap', 'baca', 'politeknik', 'politeknikjoss', 'pens', 'pensjoss', 'diktisaintekberdampak', 'kampusberdampak', 'kampusinovasi', 'banggapens', 'pkkmbxtechnogear']",1718,2,2025-08-19,10:44:22,5.493803500702696
Video,"['halo', 'sobatpens', 'rangka', 'hut', 'republik', 'indonesia', 'pens', 'gelar', 'upacara', 'bendera', 'minggu', 'upacara', 'momentum', 'harga', 'satya', 'lancana', 'karya', 'satya', 'dosen', 'tendik', 'yuk', 'simak', 'video', 'reels', 'politeknik', 'politeknikjoss', 'pens', 'pensjoss', 'diktisaintekberdampak', 'kampusberdampak', 'kampusinovasi', 'hutri']",717,2,2025-08-17,18:33:53,2.296537626165836
Carousel,"['momentum', 'ulang', 'merdeka', 'republik', 'indonesia', 'pens', 'gelar', 'upacara', 'bendera', 'minggu', 'upacara', 'hadir', 'sivitas', 'akademika', 'liput', 'wakil', 'dosen', 'tenaga', 'didik', 'jurus', 'ambil', 'lokasi', 'lapang', 'basket', 'gedung', 'sarjana', 'terap', 'pens', 'tema', 'daulat', 'rakyat', 'sejahtera', 'indonesia', 'maju', 'laksana', 'harga', 'satyalancana', 'karya', 'satya', 'potong', 'tumpeng', 'lomba', 'tarik', 'berita', 'lengkap', 'baca', 'politeknik', 'politeknikjoss', 'pens', 'pensjoss', 'diktisaintekberdampak', 'kampusberdampak', 'kampusinovasi', 'banggapens', 'hutri']",608,0,2025-08-17,14:43:01,1.9419956560623484
Image,"['dirgahayu', 'republik', 'indonesia', 'merdeka', 'makna', 'bebas', 'tanggung', 'ajar', 'inovasi', 'karya', 'bangsa', 'generasi', 'milik', 'peran', 'jaga', 'semangat', 'juang', 'manfaat', 'semangat', 'merdeka', 'mari', 'bangun', 'indonesia', 'maju', 'daya', 'saing', 'martabat', 'politeknik', 'politeknikjoss', 'pens', 'pensjoss', 'diktisaintekberdampak', 'kampusinovasi', 'banggapens', 'kampusberdampak', 'hutri']",398,3,2025-08-17,11:23:53,1.2808227928963845
Video,"['halo', 'sobatpens', 'nih', 'technogear', 'wujud', 'sambut', 'hangat', 'mahasiswa', 'gelar', 'parade', 'riah', 'himpun', 'mahasiswa', 'hima', 'jumat', 'agam', 'kreativitas', 'khas', 'masingmasing', 'hima', 'tampil', 'sasar', 'sivitas', 'akademika', 'masyarakat', 'jalan', 'raya', 'its', 'kampus', 'pens', 'penasaran', 'seru', 'yuk', 'simak', 'reels', 'politeknik', 'politeknikjoss', 'pens', 'pensjoss', 'diktisaintekberdampak', 'kampusinovasi', 'kampustradisijuara', 'banggapens', 'technogear', 'parade']",2900,35,2025-08-16,17:51:23,9.374600741024658
