caption,sentiment_label,like_count,comment_count,engagement_rate
belum pasuk kuliah tahun akademik badan eksekutif mahasiswa bem pens usai langsung rangkai orientasi mahasiswa baru yang sebut dengan technogear pens giat ini langsung lama tiga hari hitung sejak hari jumat hingga minggu dan ikut seluruh mahasiswa baru pens tahun angkat lalu bagai giat seperti kunjung laboratorium kenal organisasi mahasiswa ormawa dan unit giat mahasiswa ukm pens harap seluruh mahasiswa baru dapat adaptasi dengan hidup serta budaya yang sudah ada di kampus baca lengkap di politeknik politeknikjoss pens pensjoss vokasikuatmenguatkanindonesiakampusinovasi,negative,1984,2,6.343426600229973
innalillahi wa inna ilaihi rojiun direktur dan keluarga besar politeknik elektronika negeri turut bela sungkawa atas wafat prof dr ir anang tjahjono mt guru besar politeknik elektronika negeri wafat pada kamis januari moga allah swt terima amal ibadah dan dapat tempat di jannahnya aamiin,negative,1949,37,6.343426600229973
halo sobatpens udah semester lima baru ngerasa salah jurus lalu kuliah telat terus izin ban bocor atau antara kalian ada yang salah satu sebut di video ini jangan ya dek ya politeknik politeknikjoss pensjoss vokasikuatmenguatkanindonesia kampusvokasi kampusinovasi janganyadekya,negative,1575,22,5.100932668966399
telah tetap corona virus disease covid bagai bencana nasional dengan putus presiden republik indonesia nomor tahun dan tidak dapat prediksi kapan pandemi covid akan akhir maka putus program didik div dan diii kelas kerjasama pln tahun ajar pens tunda akan buka kembali pada tahun ajar,negative,1201,69,4.056471189472339
innalillahi wa inna ilaihi rojiun direktur dan keluarga besar politeknik elektronika negeri turut bela sungkawa atas wafat bapak hartono direktur operasi pt garam persero alumni pens moga allah swt terima amal ibadah dan dapat tempat di jannahnya aamiin,negative,1098,3,3.5166730548102723
latih terampil manajemen mahasiswa pra tingkat dasar lkmm pratd kembali helat cara luring oleh pandu pens giat sebut selenggara di akhir pekan dan bagi jadi tiga gelombang antar departemen masuk kampus lamongan dan sumenep langsung di gedung d dan gedung d pens giat ini helat sejak jumat hingga minggu lkmm pratd ini jadi agenda tahun yang tuju untuk bekal mahasiswa baru kena manajemen diri lama jalan masa kuliah di kampus pens baca lengkap di politeknik politeknikjoss pens pensjoss vokasikuatmenguatkanindonesia kampusinovasi lkmm,negative,1045,12,3.3761338954899704
tanyatanya sulit maba pens di tengah semester halo sobatpens tak asa mahasiswa baru pens sudah pasuk tengah semester kuliah mereka telah lalu bagai giat di kampus mulai dari ajar di kelas praktikum hingga pekan uts kirakira sulit apa saja yang mereka alami lama ini yuk tonton reels ikut politeknik politeknikjoss pens pensjoss vokasikuatmenguatkanindonesia kampusinovasi,negative,834,11,2.698990673310336
mahasiswa pens tengah jalan rangkai giat mulai dari sidang ppa untuk mahasiswa jenjang diploma iii hingga sidang pa untuk mahasiswa jenjang diploma iv giat ikut oleh mahasiswa tingkat akhir dosen bimbing serta dosen uji tempat di kampus pens giat ini helat lama empat hari berita lengkap dapat baca di,negative,775,7,2.497764149738086
pens usai selenggara ambil rapor semester satu mahasiswa tahun ajar turut hadir oleh orang tuawali mahasiswa giat awal dengan sambut direktur pens dan wakil direktur bidang mahasiswa serta lanjut dengan sampai ceramah motivasi ajar di ruang auditorium lantai gedung pascasarjana pens giat tutup dengan bagi rapor sama dosen wali di ruang kelas masingmasing berita lengkap dapat baca di,negative,767,6,2.469017503513479
guna optimal luncur game bagai tugas akhir sarjana terap teknologi game mahasiswa angkat sukses gelar playtest buka untuk mahasiswa pens banyak tim laku showcase game dengan target responden guna metode yang beda playtest ini pamer bagai jenis game seperti game edukasi sejarah hingga horor giat yang langsung lama hari ini ambil titik lokasi di gedung smart automation workshop saw pada sabtu dan minggu berita lengkap dapat baca di politeknik politeknikjoss pens pensjoss vokasikuatmenguatkanindonesia kampusvokasi kampustradisijuara kampusinovasi playtest,negative,669,5,2.152804395042801
rangkai giat informasi kenal mahasiswa baru dan orientasi mahasiswa baru telah usai laksana langsung lama lima hari giat tempat di kampus pens dan ikut oleh mahasiswa baru,negative,608,2,1.9483837996678164
malang mahasiswa politeknik elektronika negeri pens kembali unjuk boleh bidang non teknik kali ini mahasiswa yang asal dari jurus teknik elektro industri hasil oleh juara harap pada ajang karya tulis ilmiah selenggara oleh himpun mahasiswa jurus fisika universitas islam negeri uin malik ibrahim malang giat ini langsung lama dua hari dan ikut oleh seluruh mahasiswa dari bagai guru tinggi,negative,604,1,1.932413440654146
biar kenang manis dan pahit di hari lalu susun rapi dalam renung hati kini kita buka lembar baru dan basuh segala salah selamat idul fitri mohon maaf lahir dan batin pens pensjoss politeknik idulfitri eidmubarok,negative,592,0,1.8908905072186024
giat tahun final project competition kembali gelar tempat di gedung pascasarjana lt giat yang langsung lama dua hari ini rupa ajang pamer banyak karya mahasiswa tingkat akhir pens,negative,587,2,1.8813082918104
beasiswa alerttt sempat harga buat kamu calon mahasiswa kamu punya mimpi bisa kuliah dengan beasiswa penuh hingga lulus yuk jangan lewat vivo nexgen scholars program beasiswa politeknik dari vivo untuk mahasiswa baru sarjana terap diploma ivd politeknik elektronika negeri pens tahun akademik apa yang kamu dapat dari beasiswa ini full support biaya kuliah tahun daftar mulai pada april ya so siapsiap buat daftar dan jangan sampai tinggal vivonexgenscholars beasiswakuliah beasiswapoliteknik vivo pens hoshizora hoshizorafoundation,negative,513,12,1.6768876964354158
rupa hujung tahun pada semester ganjil pens telah usai ada uji akhir semester uas langsung lama empat hari hitung sejak senin giat ini ikut oleh seluruh mahasiswa aktif pens giat ini bagi jadi dua sesi yaitu sesi satu wib untuk mahasiswa d dan sesi dua wib untuk mahasiswa d,negative,502,8,1.628976619394404
mahasiswa jenjang diploma iii pens usai jalan giat seminar proposal proyek akhir sppa helat lama kurang lebih satu pekan hitung sejak kamis giat ikut oleh mahasiswa tingkat akhir dari bagai program studi beda dengan tahuntahun belum helat sppa kali ini langsung cara daring lalu aplikasi video conference berita lengkap dapat baca di,negative,496,0,1.5842596141561265
keluarga besar pens turut duka cita atas bantai di sigi sulawesi tengah jenak mari kita doa saudarasaudara kita yang timpa musibah moga selalu di ikan tabah dan kuat aamiin pens pensjoss politeknik sigi pembantaiansigi,negative,494,0,1.577871470550658
pens tv usai jalan sidang proyek akhir begini tanggap mahasiswa tingkat akhir pens mahasiswa tingkat akhir politeknik elektronika negeri pens telah usai jalan sidang proyek akhir langsung lama pek giat yang rupa satu tahap tuju wisuda ini tempat di kampus pens telah tempuh studi di kampus pens yang tidak mudah tentu kita penasaran dong gimana asa mereka telah selang lebih dekat tuju wisuda yuk tonton video ini untuk dengar beberapa tanggap mahasiswa akhir yang baru saja jalan sidang untuk video lengkap dapat lihat di youtubecompenstv,negative,463,1,1.482049316468634
guna luas paham publik kena industri game gameloft indonesia telah usai ada gameloft day di pens pada jumat acara yang turut hadir oleh ajar dan mahasiswa dari bagai daerah ini helat di auditorium dan miniteater lantai serta laboratorium motion capture lantai gedung pascasarjana pens,negative,419,0,1.3383160853455986
kamis himpun mahasiswa teknik mekatronika hima meka politeknik elektronika negeri pens usai helat giat farewell party dan welcome party fpwp tempat di lapang merah gedung d pens giat hadir oleh dosen staff serta seluruh mahasiswa teknik mekatronika usung tema ragam cita satu mekatronika raya ini tuju bagai memempererat hubung antar angkat,negative,416,0,1.3287338699373965
pens update latih terampil manajemen mahasiswa pra tingkat dasar lkmm pratd kembali helat cara luring oleh pandu pens giat sebut selenggara di akhir pekan dan bagi jadi tiga gelombang antar departemen masuk program studi di luar kampus utama sumenep dan lamongan langsung di hall gedung sarjana terap dan ruang teater gedung d pens giat ini helat sejak jumat hingga minggu lkmm pratd ini jadi agenda tahun yang tuju untuk bekal mahasiswa baru kena manajemen diri lama jalan masa kuliah di kampus pens reporter arman jaya videografer gerardus mayella angger saksi video lengkap di channel youtube penstv politeknik pensjoss pens vokasimenguatkanindonesia pensupdate,negative,391,0,1.248882074869043
pasuk minggu ke kuliah pens ada uji tengah semester uts semester ganjil tahun ajar giat ini rupa bentuk evaluasi ajar yang lama ini laku oleh mahasiswa uji jadwal langsung lama lima hari dan ikut oleh seluruh mahasiswa aktif pens,negative,388,0,1.2392998594608406
dalam upaya rang boros makan dan dukung sadar akan dampak sampah makan hadap ubah iklim lembaga manajemen infaq lmi bekerjasama dengan tri sosial masyarakat bem pens telah hasil selenggara giat no food waste gws dengan tema upgrading skill food waste warrior banyak serta dari bagai himpun bem di bagai institusi kota aktif ikut giat yang langsung di ruang ps gedung pascasarjana pens pada sabtu lalu gera ini harap para mahasiswa dapat tingkat waspada hadap dampak ubah iklim yang cepat akibat buang makan yang tidak tepat berita lengkap dapat baca di politeknik politeknikjoss pens pensjoss vokasikuatmenguatkanindonesia kampusinovasi kampusvokasi gerakannofoodwaste,negative,387,1,1.2392998594608406
breakout cara kelola uang ala mahasiswa hubung ada kuliah offline yang sudah mulai laku oleh pens maka banyak dari mahasiswa yang rantau ke untuk ikut kuliah offline atur uang adalah salah satu tindak yang harus laku oleh semua orang khusus para mahasiswa penasaran dengan cara kelola uang ala mahasiswa yuk simak tips dalam video ini lengkap dapat lihat di,negative,380,1,1.2169413568417018
guna sejahtera mahasiswa bidikmisi dan tambah rasa keluarga antar mahasiswa bidikmisi eepis bidikmisi organization ebio pens telah usai selenggara sejahtera sama bidimisi serabi pada kamis tempat di depan pustaka gedung d pens giat ini ikut oleh mahasiswa aktif bidikmisi dari bagai angkat,negative,366,0,1.16903027980069
rahajeng nyanggra rahina nyepi caka dumogi prasida ngalaksanayang catur brata nyepi pensjoss politeknik,negative,343,0,1.095566628337805
guna beri wawas kepada mahasiswa baru jurus d teknologi game politeknik elektronika negeri pens kena developer team dalam cipta game lama tiga hari hitung sejak telah usai selenggara game jam internal season angkat tema da real developer giat tempat di lab gt studio game program studi prodi game technology pens,negative,303,0,0.96780375622844
tikus das adalah istilah untuk para koruptor yang memang pintar cara akademik tapi bodoh dalam sisi religius kembali pada ajar agama sungguh tidak ada satu agama yang halal korupsi mari singkir tindak busuk itu dari bumi kita dengan jujur dan selalu ada di jalan yang benar ingat yang lain bukan hanya pada hari anti korupsi pada tanggal desember ini saya namun tiap saat dan di mana pun itu pensjoss politeknik hariantikorupsi,negative,279,0,0.8911460329628209
unit giat rohani islam ukki pens usai helat giat tajuk bekal didik agama islam mahasiswa muslim pens pada rabu tempat di lapang merah gedung d pens giat yang hadir oleh ratus mahasiswa ini rupa buka dari giat mentoring untuk mahasiswa muslim pens,negative,279,0,0.8911460329628209
semarang berani laku ubah robot ayu pens yaknieepis robot intellegent in sense of art erisa hasil selesai babak putar tiga kembali duduk zona merah robot ayu ini sembah tampil tari dengan gemulai dan pukau main di venue kontes robot seni tari indonesia erisa tunjuk kesiap yang lebih matang seperti belum yang jadi di babak sisih keduabluetoothantara dua robot masalah,negative,273,0,0.8719816021464162
